INV_NO,CUST_ID,ISSUE_DT,DUE_DT,CURR_CD,AMT,STATUS_CD
INV-000001,C000001,N/A,2025-10-09,USD,763.59,OVERDUE
INV-000002,C000001,2024-12-23,2025-01-22,USD,2770.49,PAID
INV-000003,C000001,2025-12-21,TBD,USD,1550.81,PAID
INV-000004,C000002,2025-08-17,2025-09-16,USD,3764.31,PAID
INV-000005,C000002,2026-06-12,2026-07-27,USD,2729.07,
INV-000006,C000003,2026-05-26,2026-06-25,USD,3894.58,PARTIAL
INV-000007,C000003,2025-07-29,2025-09-27,USD,358.63,PARTIAL
INV-000008,C000004,2025-12-10,2026-02-08,USD,2572.0,PAID
INV-000009,C000004,2026-06-29,0000-00-00,USD,3946.13,PAID
INV-000010,C000005,2024-12-03,2025-01-17,USD,4388.86,PAID
INV-000011,C000005,2025-05-05,2025-06-04,USD,4186.07,PAID
INV-000012,C000006,2024-09-05,2024-11-04,USD,795.1,PAID
INV-000013,C000006,2024-11-07,2024-11-22,USD,3383.63,OVERDUE
INV-000014,C000006,2026-02-04,2026-02-19,USD,3854.16,PAID
INV-000015,C000006,2025-09-17,2025-10-02,USD,1906.98,PAID
INV-000016,C000006,1755464400,2025-09-02,USD,1349.35,PAID
INV-000017,C000007,2025-03-08,2025-04-22,USD,2184.57,OVERDUE
INV-000018,C000008,2024-09-14,2024-10-29,USD,1021.67,VOID
INV-000019,C000008,2024-11-02,,USD,3827.49,PARTIAL
