PMT_NO,INV_NO,CUST_ID,PMT_DT,AMT,PMT_METHOD_CD
PMT-000001,INV-000001,C000001,2025-09-12,763.59,CREDIT_CARD
PMT-000002,INV-000002,C000001,,2770.49,--
PMT-000003,INV-000003,C000001,2025-12-26,1550.81,CREDIT_CARD
PMT-000004,INV-000004,C000002,2025-09-19,3764.31,BANK_TRANSFER
PMT-000005,INV-000005,C000002,2026-07-14,2729.07,CASH
PMT-000006,INV-000006,C000003,2026-06-29,3310.39,CREDIT_CARD
PMT-000007,INV-000008,C000004,2026-01-15,2572.0,CHECK
PMT-000008,INV-000009,C000004,2026-07-05,3946.13,BANK_TRANSFER
PMT-000009,INV-000010,C000005,2024-12-12,4388.86,CHECK
PMT-000010,INV-000011,C000005,05/05/2025,4186.07,BANK_TRANSFER
PMT-000011,INV-000012,C000006,2024-10-18,795.1,CREDIT_CARD
PMT-000012,INV-000013,C000006,2024-12-03,3383.63,BANK_TRANSFER
PMT-000013,INV-000014,C000006,2026-03-06,3854.16,CREDIT_CARD
PMT-000014,INV-000015,C000006,2025-09-24,1906.98,
PMT-000015,INV-000016,C000006,2025-09-11,1349.35,CREDIT_CARD
PMT-000016,INV-000017,C000007,2025-04-06,2184.57,CHECK
PMT-000017,INV-000019,C000008,05-11-2024,3444.74,CREDIT_CARD
